X	Y
0	0.416119
1	0.415155
2	0.413363
3	0.411409
4	0.411896
5	0.409479
6	0.415302
7	0.410454
8	0.411656
9	0.412179
10	0.411603
11	0.405393
12	0.412023
13	0.409032
14	0.408302
15	0.411476
16	0.408536
17	0.407373
18	0.411467
19	0.408995
20	0.412071
21	0.411999
22	0.414874
23	0.411641
24	0.420615
25	0.417515
26	0.422864
27	0.421139
28	0.425515
29	0.426292
30	0.432322
31	0.431365
32	0.435398
33	0.444606
34	0.450773
35	0.463548
36	0.477156
37	0.494274
38	0.517939
39	0.550063
40	0.588518
41	0.633166
42	0.675022
43	0.727143
44	0.762889
45	0.797843
46	0.818332
47	0.829785
48	0.826289
49	0.808211
50	0.760577
51	0.681918
52	0.573724
53	0.471775
54	0.430354
55	0.427761
56	0.433514
57	0.441632
58	0.453462
59	0.466630
60	0.498210
61	0.515806
62	0.549977
63	0.583479
64	0.622724
65	0.654624
66	0.676855
67	0.688754
68	0.684915
69	0.657953
70	0.607264
71	0.529530
72	0.441426
73	0.395848
74	0.382831
75	0.381907
76	0.385054
77	0.378766
78	0.382062
79	0.388967
80	0.384088
81	0.383418
82	0.386920
83	0.380952
84	0.383005
85	0.382312
86	0.381728
87	0.381255
88	0.381440
89	0.383258
90	0.380910
91	0.384291
92	0.382486
93	0.386673
94	0.386477
95	0.388876
96	0.391330
97	0.403474
98	0.404349
99	0.412758
100	0.422340
101	0.422926
102	0.421079
103	0.417320
104	0.412634
105	0.398926
106	0.384923
107	0.379797
108	0.377457
109	0.373555
110	0.371471
111	0.369329
112	0.368470
113	0.371182
114	0.366482
115	0.367007
116	0.367719
117	0.370977
118	0.369891
119	0.365610
120	0.368297
121	0.368203
122	0.371325
123	0.381978
124	0.376211
125	0.383878
126	0.385441
127	0.383886
128	0.390703
129	0.382518
130	0.377251
131	0.367210
132	0.365669
133	0.361679
134	0.352996
135	0.360162
136	0.354722
137	0.356285
138	0.352632
139	0.354889
140	0.351684
141	0.353024
142	0.354315
143	0.353900
144	0.353073
145	0.352526
146	0.355659
147	0.350821
148	0.354838
149	0.348812
150	0.351015
151	0.351185
152	0.353444
153	0.351991
154	0.348868
155	0.347042
156	0.352381
157	0.349058
158	0.348609
159	0.345539
160	0.346295
161	0.344618
162	0.346947
163	0.345509
164	0.348336
165	0.352107
166	0.346274
167	0.343930
168	0.348456
169	0.343383
170	0.343903
171	0.344822
172	0.349671
173	0.350357
174	0.351797
175	0.343829
176	0.344906
177	0.346395
178	0.346734
179	0.344297
180	0.341053
181	0.348508
182	0.342174
183	0.346843
184	0.343584
185	0.338598
186	0.343019
187	0.339802
188	0.341780
189	0.341487
190	0.344213
191	0.340234
192	0.346407
193	0.344081
194	0.340135
195	0.343017
196	0.344170
197	0.343650
198	0.343818
199	0.341390
