X	Y
0	0.371438
1	0.372034
2	0.375549
3	0.369429
4	0.366517
5	0.364822
6	0.365537
7	0.364153
8	0.368984
9	0.372930
10	0.365733
11	0.371722
12	0.369432
13	0.365514
14	0.368339
15	0.367897
16	0.369668
17	0.368996
18	0.366566
19	0.368126
20	0.370502
21	0.367806
22	0.366955
23	0.365819
24	0.363408
25	0.373011
26	0.371349
27	0.369787
28	0.368986
29	0.372966
30	0.369895
31	0.369141
32	0.372580
33	0.375951
34	0.371725
35	0.375873
36	0.372385
37	0.374340
38	0.377712
39	0.376565
40	0.379552
41	0.386286
42	0.386785
43	0.391607
44	0.395059
45	0.400337
46	0.411321
47	0.423727
48	0.438883
49	0.459650
50	0.488705
51	0.526004
52	0.569873
53	0.618814
54	0.662687
55	0.700269
56	0.732101
57	0.752290
58	0.766345
59	0.773764
60	0.771856
61	0.764782
62	0.745959
63	0.705711
64	0.627807
65	0.521435
66	0.428909
67	0.375080
68	0.363487
69	0.361203
70	0.365594
71	0.363621
72	0.366526
73	0.369928
74	0.379583
75	0.389876
76	0.409809
77	0.431282
78	0.456509
79	0.491453
80	0.522029
81	0.551684
82	0.578164
83	0.607228
84	0.624636
85	0.631613
86	0.631346
87	0.624814
88	0.595891
89	0.542303
90	0.471555
91	0.404444
92	0.359687
93	0.344883
94	0.338565
95	0.338885
96	0.331049
97	0.329834
98	0.330070
99	0.332134
100	0.324359
101	0.324203
102	0.327599
103	0.323738
104	0.325570
105	0.325580
106	0.323738
107	0.327599
108	0.325778
109	0.324816
110	0.323544
111	0.327331
112	0.328189
113	0.325143
114	0.321335
115	0.319843
116	0.318586
117	0.322337
118	0.321393
119	0.325528
120	0.323527
121	0.322813
122	0.329832
123	0.331112
124	0.325221
125	0.328484
126	0.325402
127	0.324379
128	0.323268
129	0.323952
130	0.320169
131	0.317541
132	0.316820
133	0.310729
134	0.309841
135	0.312180
136	0.310244
137	0.309321
138	0.306761
139	0.306150
140	0.307462
141	0.308152
142	0.308833
143	0.305901
144	0.304711
145	0.305517
146	0.303223
147	0.307805
148	0.304399
149	0.305308
150	0.301940
151	0.301536
152	0.302657
153	0.301131
154	0.301807
155	0.305342
156	0.306943
157	0.308192
158	0.307386
159	0.307947
160	0.303986
161	0.301271
162	0.304788
163	0.299967
164	0.302478
165	0.293647
166	0.297676
167	0.293028
168	0.294396
169	0.295952
170	0.292403
171	0.291234
172	0.293780
173	0.292731
174	0.293805
175	0.292900
176	0.293456
177	0.294586
178	0.288122
179	0.292913
180	0.292622
181	0.294456
182	0.293440
183	0.294021
184	0.290490
185	0.291911
186	0.287279
187	0.287559
188	0.286099
189	0.290260
190	0.289905
191	0.286523
192	0.286245
193	0.290602
194	0.291898
195	0.288871
196	0.288748
197	0.288367
198	0.288340
199	0.290360
200	0.288606
201	0.289512
