X	Y
0	0.357087
1	0.358292
2	0.361064
3	0.357893
4	0.359497
5	0.357108
6	0.355536
7	0.362966
8	0.358078
9	0.357895
10	0.357883
11	0.357319
12	0.357242
13	0.355798
14	0.356283
15	0.354841
16	0.358561
17	0.353073
18	0.354276
19	0.352931
20	0.358070
21	0.360723
22	0.357692
23	0.358972
24	0.361842
25	0.361090
26	0.362810
27	0.360523
28	0.365603
29	0.368572
30	0.369848
31	0.370156
32	0.372317
33	0.379799
34	0.386458
35	0.394188
36	0.406841
37	0.413367
38	0.428313
39	0.443120
40	0.459280
41	0.489307
42	0.517963
43	0.552867
44	0.589726
45	0.622752
46	0.655010
47	0.676795
48	0.693113
49	0.701368
50	0.700223
51	0.689507
52	0.668829
53	0.624604
54	0.549284
55	0.452017
56	0.381810
57	0.365354
58	0.365822
59	0.367841
60	0.380461
61	0.391658
62	0.402250
63	0.422919
64	0.447553
65	0.478970
66	0.506553
67	0.535510
68	0.558588
69	0.580205
70	0.588241
71	0.588860
72	0.580544
73	0.555564
74	0.506121
75	0.431625
76	0.365178
77	0.341079
78	0.331617
79	0.335914
80	0.332899
81	0.332797
82	0.332181
83	0.332725
84	0.330240
85	0.334217
86	0.329071
87	0.332044
88	0.329535
89	0.330772
90	0.331557
91	0.329355
92	0.330723
93	0.329973
94	0.336576
95	0.333073
96	0.330060
97	0.330294
98	0.333674
99	0.332406
100	0.335074
101	0.335763
102	0.335578
103	0.342503
104	0.347544
105	0.345945
106	0.338516
107	0.342223
108	0.335267
109	0.330848
110	0.327569
111	0.323045
112	0.320877
113	0.318648
114	0.321721
115	0.322489
116	0.323045
117	0.318409
118	0.318575
119	0.316413
120	0.313453
121	0.317161
122	0.314933
123	0.317593
124	0.317459
125	0.319160
126	0.316286
127	0.319392
128	0.316930
129	0.323336
130	0.323027
131	0.325133
132	0.326107
133	0.323884
134	0.324071
135	0.317593
136	0.312181
137	0.309749
138	0.308792
139	0.307265
140	0.312242
141	0.308357
142	0.307045
143	0.308011
144	0.305404
145	0.303867
146	0.305831
147	0.303853
148	0.302960
149	0.301526
150	0.304334
151	0.301781
152	0.304836
153	0.301573
154	0.301955
155	0.302801
156	0.300880
157	0.302055
158	0.298018
159	0.306070
160	0.301089
161	0.298937
162	0.297491
163	0.301801
164	0.301192
165	0.302463
166	0.297828
167	0.298962
168	0.301156
169	0.298266
170	0.298094
171	0.298308
172	0.297645
173	0.298736
174	0.303412
175	0.301073
176	0.295845
177	0.293380
178	0.297093
179	0.297346
180	0.294730
181	0.294763
182	0.295601
183	0.292376
184	0.296059
185	0.296943
186	0.297434
187	0.296435
188	0.298085
189	0.296163
190	0.296508
191	0.293661
192	0.289760
193	0.297809
194	0.294021
195	0.296655
196	0.291651
197	0.292194
198	0.290571
199	0.289383
