X	Y
0	0.483209
1	0.479751
2	0.483439
3	0.480843
4	0.482207
5	0.478018
6	0.480926
7	0.476982
8	0.481341
9	0.482367
10	0.480519
11	0.481371
12	0.482797
13	0.483475
14	0.484999
15	0.486162
16	0.483633
17	0.485760
18	0.486892
19	0.492769
20	0.491417
21	0.491598
22	0.494890
23	0.493374
24	0.500005
25	0.502379
26	0.502863
27	0.508558
28	0.512716
29	0.518402
30	0.524693
31	0.532845
32	0.548366
33	0.560518
34	0.572510
35	0.593590
36	0.615800
37	0.642316
38	0.669537
39	0.705561
40	0.739649
41	0.783869
42	0.819733
43	0.850782
44	0.876461
45	0.894439
46	0.898472
47	0.896740
48	0.883449
49	0.857219
50	0.824957
51	0.777702
52	0.725833
53	0.653698
54	0.579563
55	0.524666
56	0.509422
57	0.510878
58	0.519766
59	0.532687
60	0.547149
61	0.559967
62	0.585260
63	0.609421
64	0.632861
65	0.666358
66	0.685439
67	0.707173
68	0.724056
69	0.729820
70	0.736059
71	0.722840
72	0.706460
73	0.676652
74	0.641585
75	0.593171
76	0.543313
77	0.497375
78	0.474547
79	0.468127
80	0.465076
81	0.465943
82	0.462729
83	0.464570
84	0.463952
85	0.469070
86	0.470707
87	0.466356
88	0.465427
89	0.463285
90	0.469132
91	0.465869
92	0.465666
93	0.467668
94	0.467402
95	0.469583
96	0.466576
97	0.466877
98	0.469960
99	0.464177
100	0.467294
101	0.465592
102	0.461214
103	0.462103
104	0.466470
105	0.456834
106	0.465295
107	0.462198
108	0.459853
109	0.459003
110	0.458800
111	0.453344
112	0.454302
113	0.451067
114	0.459923
115	0.453736
116	0.456557
117	0.458703
118	0.456269
119	0.456325
120	0.452058
121	0.454768
122	0.456024
123	0.453377
124	0.453591
125	0.450813
126	0.453385
127	0.455768
128	0.451618
129	0.451351
130	0.451101
131	0.451786
132	0.451126
133	0.451047
134	0.452114
135	0.453424
136	0.450916
137	0.450804
138	0.450166
139	0.446746
140	0.448222
141	0.449379
142	0.448406
143	0.450565
144	0.445276
145	0.449115
146	0.450416
147	0.449329
148	0.451478
149	0.451160
150	0.447353
151	0.451992
152	0.450940
153	0.447724
154	0.447688
155	0.450728
156	0.446066
157	0.449317
158	0.447927
159	0.449903
160	0.453332
161	0.454505
162	0.447770
163	0.452709
164	0.449775
165	0.448372
166	0.447379
167	0.449922
168	0.452745
169	0.454987
170	0.449238
171	0.451660
172	0.447854
173	0.446762
174	0.450352
175	0.446412
176	0.448188
177	0.448243
178	0.447299
179	0.447677
180	0.445268
181	0.451836
182	0.452869
183	0.455324
184	0.453165
185	0.455059
186	0.454396
187	0.453814
188	0.448869
189	0.450129
190	0.452013
191	0.450239
192	0.451692
193	0.453870
194	0.450466
195	0.448945
196	0.450244
197	0.451276
198	0.453084
199	0.449493
