X	Y
0	0.392934
1	0.393234
2	0.394081
3	0.393941
4	0.394710
5	0.392303
6	0.392374
7	0.394239
8	0.393166
9	0.392155
10	0.396031
11	0.393356
12	0.389362
13	0.393977
14	0.393901
15	0.397274
16	0.395986
17	0.394753
18	0.397336
19	0.402428
20	0.402097
21	0.401725
22	0.403605
23	0.404190
24	0.405238
25	0.401371
26	0.405151
27	0.406805
28	0.406106
29	0.408168
30	0.415699
31	0.419324
32	0.423814
33	0.429590
34	0.434803
35	0.443122
36	0.458458
37	0.481842
38	0.522995
39	0.576643
40	0.629502
41	0.686864
42	0.733887
43	0.769255
44	0.793988
45	0.807408
46	0.811483
47	0.805040
48	0.775071
49	0.714505
50	0.598150
51	0.456684
52	0.399588
53	0.391017
54	0.387275
55	0.393416
56	0.398068
57	0.400926
58	0.407905
59	0.423865
60	0.441285
61	0.469167
62	0.505283
63	0.541898
64	0.575018
65	0.608401
66	0.632803
67	0.653273
68	0.662491
69	0.655929
70	0.632272
71	0.567079
72	0.477891
73	0.401642
74	0.378149
75	0.379615
76	0.376852
77	0.373151
78	0.376689
79	0.375182
80	0.377202
81	0.374510
82	0.371195
83	0.375309
84	0.375550
85	0.372780
86	0.375548
87	0.374421
88	0.376734
89	0.371511
90	0.375002
91	0.376275
92	0.376502
93	0.376199
94	0.371146
95	0.376760
96	0.373463
97	0.371618
98	0.378772
99	0.383098
100	0.396514
101	0.404307
102	0.419042
103	0.422813
104	0.426940
105	0.421147
106	0.415539
107	0.400410
108	0.385219
109	0.374364
110	0.370591
111	0.369958
112	0.369182
113	0.366548
114	0.368201
115	0.368537
116	0.363491
117	0.368084
118	0.364097
119	0.366183
120	0.361128
121	0.364969
122	0.365250
123	0.365065
124	0.365535
125	0.365091
126	0.365572
127	0.368355
128	0.372992
129	0.376398
130	0.386662
131	0.390139
132	0.393918
133	0.396036
134	0.390000
135	0.379936
136	0.369443
137	0.361726
138	0.356713
139	0.358887
140	0.360642
141	0.358622
142	0.359183
143	0.360359
144	0.355140
145	0.358219
146	0.361082
147	0.358076
148	0.362988
149	0.359950
150	0.359194
151	0.362298
152	0.358635
153	0.357840
154	0.357629
155	0.358557
156	0.355412
157	0.356585
158	0.358984
159	0.358375
160	0.357325
161	0.362138
162	0.357268
163	0.361530
164	0.361274
165	0.356340
166	0.356018
167	0.357709
168	0.355814
169	0.357072
170	0.356593
171	0.357297
172	0.358537
173	0.356903
174	0.356379
175	0.354929
176	0.354260
177	0.353288
178	0.355808
179	0.354712
180	0.353637
181	0.349937
182	0.353960
183	0.353602
184	0.354141
185	0.355328
186	0.355049
187	0.359148
188	0.352102
189	0.355382
190	0.353500
191	0.355123
192	0.354230
193	0.353186
194	0.355869
195	0.350922
196	0.349723
197	0.351329
198	0.355069
199	0.354260
