X	Y
0	67.083
1	67.867
2	68.200
3	69.667
4	68.217
5	66.633
6	67.467
7	68.917
8	69.767
9	68.800
10	68.883
11	69.067
12	69.467
13	68.450
14	68.833
15	69.933
16	70.050
17	69.733
18	69.667
19	71.067
20	70.967
21	72.117
22	71.733
23	73.133
24	72.450
25	73.033
26	72.767
27	73.417
28	72.767
29	73.983
30	75.050
31	76.650
32	74.750
33	76.417
34	75.567
35	77.050
36	78.150
37	80.300
38	80.950
39	81.867
40	83.667
41	83.867
42	87.333
43	88.633
44	89.750
45	95.750
46	102.850
47	114.350
48	132.133
49	149.483
50	169.350
51	185.650
52	198.933
53	211.867
54	220.000
55	223.917
56	225.950
57	224.333
58	217.900
59	199.167
60	167.783
61	129.517
62	94.400
63	74.250
64	71.283
65	70.517
66	71.467
67	72.517
68	74.183
69	76.183
70	79.417
71	86.800
72	94.600
73	102.800
74	115.033
75	126.467
76	136.500
77	147.617
78	157.150
79	162.517
80	166.450
81	165.950
82	160.450
83	146.700
84	121.100
85	93.900
86	73.567
87	63.683
88	62.900
89	60.867
90	61.400
91	62.083
92	61.300
93	60.483
94	60.933
95	61.567
96	62.350
97	60.867
98	62.733
99	60.483
100	62.750
101	61.100
102	61.317
103	61.000
104	61.000
105	59.783
106	61.850
107	61.650
108	59.567
109	60.433
110	60.750
111	60.567
112	59.500
113	60.000
114	61.583
115	61.717
116	62.417
117	64.583
118	67.317
119	68.683
120	67.550
121	67.800
122	66.167
123	64.917
124	63.733
125	61.883
126	59.050
127	60.150
128	56.517
129	56.450
130	58.433
131	57.700
132	57.800
133	55.950
134	57.100
135	57.300
136	57.400
137	57.100
138	57.067
139	57.067
140	55.400
141	54.833
142	56.067
143	56.000
144	54.233
145	55.433
146	56.350
147	57.400
148	57.167
149	57.700
150	58.033
151	59.183
152	58.817
153	59.617
154	58.950
155	58.833
156	57.050
157	55.667
158	55.000
159	53.200
160	52.100
161	53.133
162	52.333
163	53.283
164	53.233
165	53.217
166	52.717
167	53.950
168	54.900
169	52.700
170	53.017
171	50.850
172	52.767
173	53.367
174	51.683
175	52.550
176	51.483
177	52.250
178	51.083
179	52.217
180	51.350
181	52.000
182	52.433
183	51.250
184	50.883
185	52.600
186	51.433
187	52.550
188	52.300
189	52.417
190	52.950
191	51.517
192	51.133
193	52.333
194	51.817
195	51.100
196	51.033
197	52.133
198	52.550
199	53.417
200	51.050
