X	Y
0	56.164
1	57.656
2	57.820
3	59.066
4	56.721
5	58.377
6	58.361
7	59.131
8	57.902
9	58.754
10	57.705
11	57.410
12	55.279
13	56.803
14	59.279
15	57.574
16	56.279
17	57.295
18	57.984
19	57.869
20	59.000
21	57.820
22	58.492
23	59.705
24	60.197
25	59.262
26	62.410
27	60.820
28	61.770
29	63.230
30	62.344
31	62.820
32	63.738
33	63.508
34	63.656
35	66.410
36	63.984
37	66.230
38	66.656
39	66.082
40	67.262
41	68.262
42	68.557
43	71.000
44	76.213
45	77.508
46	85.115
47	94.787
48	110.590
49	126.639
50	145.328
51	161.197
52	177.246
53	190.361
54	200.230
55	206.180
56	208.557
57	207.902
58	200.443
59	185.033
60	160.639
61	125.639
62	92.393
63	68.639
64	62.262
65	59.098
66	60.738
67	60.787
68	62.541
69	62.262
70	62.492
71	65.869
72	70.885
73	77.836
74	86.770
75	96.016
76	110.820
77	122.705
78	133.705
79	142.689
80	149.148
81	153.508
82	151.574
83	147.311
84	132.164
85	112.738
86	89.410
87	69.164
88	58.295
89	54.164
90	51.770
91	53.066
92	52.246
93	53.344
94	52.115
95	51.934
96	52.951
97	52.525
98	51.475
99	52.033
100	50.721
101	52.344
102	50.131
103	52.738
104	50.951
105	51.541
106	52.180
107	52.902
108	49.541
109	52.754
110	51.934
111	50.885
112	49.393
113	49.623
114	49.770
115	51.639
116	52.590
117	53.164
118	59.082
119	65.770
120	66.393
121	72.836
122	71.623
123	72.754
124	70.393
125	64.770
126	61.967
127	57.869
128	54.787
129	51.639
130	48.131
131	45.820
132	46.787
133	44.689
134	45.525
135	44.393
136	45.689
137	46.230
138	45.803
139	45.131
140	44.639
141	45.984
142	44.213
143	45.934
144	46.328
145	46.328
146	46.541
147	49.328
148	47.607
149	49.820
150	50.967
151	52.393
152	53.803
153	56.361
154	60.803
155	62.525
156	58.918
157	55.164
158	52.295
159	48.918
160	47.049
161	46.393
162	47.049
163	45.115
164	45.033
165	44.262
166	42.623
167	42.820
168	43.213
169	41.869
170	41.459
171	43.803
172	44.131
173	42.639
174	43.197
175	41.803
176	41.852
177	42.984
178	41.951
179	44.295
180	39.213
181	41.557
182	40.311
183	40.607
184	40.492
185	37.787
186	40.803
187	38.443
188	38.557
189	39.361
190	40.885
191	40.311
192	39.852
193	39.689
194	40.033
195	40.410
196	40.705
197	38.869
198	38.803
199	38.803
200	39.623
