X	Y
0	59.197
1	57.820
2	57.180
3	59.082
4	58.951
5	57.836
6	58.918
7	55.885
8	57.803
9	57.393
10	58.934
11	56.574
12	59.475
13	58.623
14	59.967
15	57.393
16	57.820
17	58.705
18	57.590
19	58.410
20	59.754
21	57.951
22	57.557
23	56.508
24	57.492
25	57.148
26	58.344
27	58.279
28	59.410
29	59.738
30	58.000
31	60.262
32	60.328
33	58.738
34	61.770
35	59.197
36	60.492
37	62.311
38	61.098
39	63.721
40	62.787
41	66.393
42	66.541
43	68.361
44	69.836
45	72.525
46	74.295
47	77.721
48	78.016
49	83.787
50	87.295
51	94.393
52	103.656
53	120.770
54	138.590
55	156.885
56	174.918
57	186.705
58	197.328
59	206.213
60	210.393
61	206.902
62	197.885
63	178.541
64	149.492
65	107.934
66	76.164
67	63.459
68	62.164
69	62.377
70	60.738
71	62.082
72	63.098
73	63.475
74	68.590
75	75.000
76	83.377
77	91.492
78	102.492
79	115.295
80	128.656
81	138.525
82	144.197
83	149.672
84	150.672
85	148.574
86	143.377
87	126.607
88	102.623
89	72.803
90	57.213
91	52.623
92	51.885
93	50.426
94	49.148
95	50.623
96	47.984
97	49.230
98	49.115
99	49.393
100	49.508
101	48.869
102	46.525
103	50.902
104	49.623
105	50.951
106	47.557
107	48.197
108	52.361
109	48.770
110	50.656
111	48.705
112	49.852
113	48.754
114	49.410
115	47.803
116	51.230
117	51.475
118	51.164
119	55.295
120	60.623
121	63.410
122	65.492
123	68.508
124	71.426
125	71.082
126	67.770
127	61.885
128	55.475
129	50.623
130	47.361
131	46.492
132	46.148
133	44.721
134	44.066
135	47.164
136	44.869
137	44.639
138	44.131
139	45.525
140	43.377
141	43.311
142	46.164
143	42.770
144	43.295
145	43.393
146	41.902
147	42.311
148	44.672
149	42.180
150	46.262
151	44.967
152	48.459
153	50.410
154	51.639
155	53.590
156	56.557
157	54.344
158	49.754
159	46.361
160	44.344
161	41.475
162	42.803
163	43.115
164	43.607
165	42.148
166	41.672
167	41.738
168	41.541
169	41.492
170	40.787
171	40.361
172	41.508
173	40.836
174	38.344
175	39.131
176	37.410
177	39.279
178	38.836
179	38.770
180	40.033
181	39.574
182	36.689
183	37.951
184	39.098
185	39.361
186	39.131
187	37.492
188	39.934
189	40.721
190	39.393
191	38.311
192	39.262
193	39.770
194	38.672
195	37.000
196	36.918
197	38.131
198	37.377
199	39.656
200	37.639
