X	Y
0	62.841
1	60.508
2	59.206
3	59.381
4	58.206
5	60.349
6	60.111
7	59.444
8	58.492
9	61.127
10	59.381
11	59.889
12	59.270
13	61.921
14	58.762
15	57.841
16	59.460
17	60.556
18	60.968
19	59.984
20	60.651
21	61.635
22	61.381
23	59.810
24	58.444
25	60.746
26	60.857
27	60.873
28	59.698
29	60.111
30	63.746
31	62.556
32	61.587
33	61.683
34	64.365
35	66.111
36	66.603
37	66.540
38	67.016
39	67.206
40	65.698
41	67.206
42	73.683
43	76.651
44	77.794
45	81.968
46	82.206
47	83.429
48	85.000
49	86.746
50	93.413
51	100.270
52	116.063
53	135.349
54	153.825
55	172.302
56	189.143
57	203.238
58	212.667
59	218.635
60	224.079
61	222.476
62	218.619
63	205.016
64	175.810
65	132.508
66	87.937
67	67.603
68	62.032
69	64.921
70	65.984
71	67.984
72	69.333
73	68.270
74	72.889
75	84.556
76	94.397
77	107.063
78	119.841
79	135.111
80	144.571
81	156.254
82	161.587
83	163.619
84	164.317
85	157.841
86	144.762
87	115.540
88	80.016
89	56.349
90	50.810
91	48.111
92	50.032
93	47.333
94	47.508
95	50.095
96	48.476
97	49.429
98	46.127
99	45.698
100	47.937
101	46.587
102	46.635
103	49.571
104	48.349
105	46.651
106	47.873
107	48.905
108	47.556
109	48.746
110	47.571
111	47.016
112	47.492
113	44.778
114	48.651
115	47.381
116	45.746
117	50.556
118	51.857
119	56.429
120	56.667
121	55.857
122	54.921
123	54.460
124	53.302
125	49.159
126	48.476
127	44.603
128	42.444
129	43.492
130	42.698
131	43.016
132	40.317
133	43.190
134	41.921
135	41.587
136	43.857
137	43.524
138	42.063
139	41.143
140	41.651
141	41.317
142	44.698
143	42.063
144	42.794
145	42.841
146	41.825
147	43.143
148	42.587
149	44.095
150	43.032
151	45.667
152	47.714
153	45.619
154	47.683
155	44.571
156	42.762
157	41.317
158	39.206
159	38.968
160	39.254
161	39.508
162	41.175
163	39.444
164	38.952
165	40.286
166	38.714
167	38.143
168	38.810
169	38.159
170	37.540
171	36.508
172	38.079
173	37.952
174	36.492
175	37.746
176	39.444
177	37.889
178	38.571
179	37.302
180	37.175
181	38.000
182	37.302
183	35.952
184	35.524
185	36.317
186	35.048
187	34.730
188	36.921
189	34.762
190	34.476
191	37.159
192	37.381
193	33.873
194	35.857
195	35.143
196	35.651
197	32.905
198	36.921
199	37.667
200	35.286
