X	Y
0	100.244
1	97.024
2	98.146
3	97.659
4	98.585
5	97.659
6	96.854
7	99.098
8	96.780
9	98.024
10	94.780
11	97.293
12	98.073
13	97.317
14	98.341
15	98.049
16	98.902
17	96.610
18	97.049
19	98.073
20	98.195
21	97.439
22	99.415
23	101.317
24	99.146
25	99.732
26	99.098
27	98.098
28	99.707
29	98.098
30	100.220
31	99.171
32	100.488
33	103.415
34	102.000
35	103.878
36	104.415
37	107.317
38	105.634
39	107.220
40	108.805
41	112.683
42	115.366
43	116.854
44	119.902
45	131.122
46	134.220
47	141.561
48	156.537
49	171.512
50	188.146
51	206.195
52	217.927
53	229.707
54	238.805
55	244.902
56	246.220
57	238.610
58	218.268
59	173.829
60	122.610
61	96.976
62	93.585
63	96.829
64	94.146
65	95.854
66	96.024
67	102.756
68	105.488
69	112.268
70	125.707
71	135.585
72	151.805
73	165.268
74	178.268
75	193.610
76	199.683
77	205.561
78	202.951
79	192.415
80	158.463
81	116.585
82	89.390
83	86.220
84	87.732
85	86.317
86	87.610
87	83.854
88	83.341
89	85.366
90	86.439
91	88.756
92	86.268
93	84.146
94	87.390
95	85.659
96	85.488
97	84.659
98	86.683
99	86.390
100	84.317
101	84.098
102	87.585
103	84.561
104	88.902
105	84.244
106	83.390
107	86.341
108	85.463
109	84.390
110	86.902
111	87.512
112	90.805
113	89.854
114	86.585
115	87.707
116	85.220
117	85.171
118	85.488
119	83.415
120	86.220
121	80.268
122	81.829
123	83.244
124	82.415
125	77.390
126	79.780
127	81.610
128	82.805
129	81.585
130	81.317
131	79.634
132	78.585
133	80.073
134	76.756
135	81.341
136	80.732
137	82.805
138	80.732
139	80.976
140	82.659
141	85.146
142	82.659
143	84.659
144	83.659
145	82.732
146	79.195
147	78.024
148	80.000
149	78.122
150	78.829
151	76.244
152	74.902
153	79.537
154	77.463
155	77.927
156	78.049
157	80.902
158	80.220
159	77.220
160	75.878
161	78.878
162	77.195
163	76.902
164	75.463
165	77.707
166	77.341
167	76.732
168	76.927
169	75.098
170	77.805
171	74.073
172	76.268
173	75.293
174	77.854
175	76.415
176	78.293
177	77.902
178	76.537
179	76.171
180	77.951
181	75.659
182	77.268
183	75.317
184	76.561
185	75.634
186	76.073
187	78.439
188	75.122
189	71.805
190	76.024
191	77.780
192	77.341
193	76.317
194	76.268
195	76.561
196	75.317
197	75.976
198	76.488
199	75.951
200	73.732
