X	Y
0	94.593
1	95.153
2	95.220
3	92.441
4	93.458
5	94.627
6	93.542
7	94.610
8	94.169
9	93.153
10	93.271
11	93.492
12	93.763
13	95.288
14	94.407
15	94.254
16	94.559
17	94.661
18	94.203
19	93.220
20	94.729
21	93.322
22	91.678
23	94.712
24	92.322
25	89.390
26	93.966
27	94.288
28	94.373
29	94.492
30	93.339
31	95.203
32	96.017
33	96.186
34	95.373
35	94.627
36	96.864
37	94.475
38	94.627
39	94.746
40	94.576
41	97.678
42	101.136
43	100.576
44	104.390
45	108.373
46	116.458
47	123.034
48	135.000
49	150.746
50	167.542
51	188.000
52	204.000
53	214.593
54	222.153
55	227.508
56	228.492
57	225.932
58	221.458
59	208.847
60	184.949
61	152.915
62	120.593
63	99.932
64	94.831
65	94.407
66	97.593
67	97.475
68	97.932
69	104.458
70	107.763
71	117.610
72	126.814
73	140.169
74	154.305
75	162.661
76	173.119
77	181.119
78	184.881
79	186.186
80	183.203
81	180.051
82	166.424
83	141.712
84	114.966
85	94.644
86	90.424
87	88.407
88	83.407
89	85.949
90	87.203
91	87.559
92	84.576
93	86.492
94	86.169
95	87.864
96	86.441
97	86.898
98	87.712
99	85.508
100	88.797
101	87.458
102	88.119
103	88.559
104	87.305
105	86.881
106	88.085
107	87.203
108	89.203
109	92.746
110	95.644
111	99.475
112	103.932
113	106.441
114	107.915
115	111.390
116	108.441
117	108.458
118	103.763
119	98.915
120	92.932
121	88.288
122	85.966
123	83.424
124	80.695
125	83.695
126	84.102
127	82.288
128	80.797
129	81.305
130	80.932
131	79.593
132	82.390
133	81.746
134	82.102
135	81.169
136	81.017
137	82.559
138	84.525
139	87.271
140	86.864
141	88.271
142	92.186
143	93.644
144	96.508
145	98.203
146	95.186
147	91.542
148	87.508
149	84.525
150	81.966
151	80.712
152	79.390
153	79.881
154	78.153
155	77.746
156	80.119
157	78.661
158	77.695
159	77.203
160	79.559
161	77.864
162	77.695
163	77.949
164	77.136
165	74.661
166	78.000
167	76.441
168	75.390
169	75.051
170	76.695
171	75.932
172	75.102
173	75.068
174	75.356
175	74.780
176	75.169
177	75.814
178	73.695
179	74.763
180	76.220
181	76.763
182	74.407
183	76.085
184	75.898
185	75.661
186	76.932
187	75.932
188	75.136
189	74.169
190	75.949
191	74.576
192	75.390
193	74.847
194	72.983
195	75.220
196	74.339
197	74.305
198	73.644
199	74.898
200	77.220
