X	Y
0	97.443
1	97.197
2	93.967
3	94.492
4	93.672
5	95.689
6	96.984
7	95.016
8	94.377
9	94.721
10	96.410
11	96.967
12	98.049
13	96.623
14	95.639
15	94.541
16	96.459
17	96.230
18	96.393
19	96.918
20	96.082
21	93.967
22	94.492
23	95.803
24	93.918
25	97.410
26	95.148
27	96.984
28	94.623
29	95.279
30	97.180
31	97.721
32	95.623
33	98.836
34	95.852
35	97.344
36	99.393
37	99.000
38	100.672
39	101.820
40	101.410
41	104.410
42	102.230
43	103.885
44	104.393
45	105.885
46	108.148
47	109.639
48	116.492
49	126.082
50	138.443
51	152.295
52	168.000
53	179.525
54	192.492
55	198.492
56	202.180
57	198.705
58	187.361
59	167.787
60	141.098
61	114.754
62	100.475
63	94.852
64	93.148
65	94.721
66	95.656
67	94.000
68	95.656
69	98.148
70	103.148
71	109.377
72	117.164
73	127.033
74	139.738
75	149.508
76	157.934
77	165.377
78	167.164
79	165.230
80	152.443
81	136.361
82	118.557
83	98.803
84	92.213
85	91.361
86	92.328
87	91.410
88	89.738
89	90.295
90	90.787
91	90.148
92	92.721
93	91.623
94	91.443
95	93.639
96	93.705
97	92.951
98	94.016
99	93.000
100	96.361
101	97.721
102	95.738
103	98.393
104	100.639
105	104.721
106	109.803
107	114.016
108	122.082
109	132.000
110	141.508
111	152.721
112	161.672
113	168.131
114	173.361
115	175.049
116	173.590
117	168.393
118	160.623
119	146.590
120	129.262
121	112.525
122	99.180
123	90.361
124	86.213
125	86.574
126	84.885
127	84.738
128	85.475
129	85.361
130	84.393
131	87.180
132	87.951
133	87.049
134	91.344
135	92.885
136	95.557
137	102.328
138	108.115
139	114.721
140	122.344
141	129.443
142	134.607
143	140.246
144	142.230
145	142.574
146	138.902
147	131.754
148	120.639
149	109.885
150	101.180
151	91.230
152	88.525
153	84.443
154	84.902
155	84.344
156	82.902
157	82.377
158	82.279
159	82.852
160	83.295
161	84.016
162	81.672
163	83.311
164	85.148
165	82.574
166	85.180
167	85.541
168	82.131
169	81.803
170	82.213
171	81.311
172	84.000
173	83.230
174	82.967
175	83.721
176	82.557
177	82.803
178	83.803
179	83.295
180	82.852
181	83.410
182	81.180
183	81.934
184	82.918
185	81.000
186	83.328
187	83.295
188	82.311
189	81.705
190	81.262
191	81.705
192	80.656
193	81.377
194	82.475
195	81.115
196	81.902
197	80.541
198	79.344
199	77.967
200	79.639
