X	Y
0	110.155
1	107.603
2	109.879
3	107.862
4	107.466
5	107.483
6	108.293
7	109.000
8	107.293
9	106.707
10	106.810
11	106.345
12	107.138
13	109.621
14	109.276
15	109.534
16	109.241
17	108.810
18	111.672
19	109.172
20	109.034
21	109.379
22	109.603
23	109.569
24	109.793
25	112.224
26	112.983
27	113.052
28	112.259
29	112.534
30	114.448
31	114.483
32	114.362
33	112.483
34	111.690
35	113.293
36	113.483
37	115.207
38	116.983
39	115.276
40	117.086
41	117.948
42	119.224
43	118.000
44	120.569
45	121.121
46	124.414
47	123.759
48	132.397
49	142.828
50	160.328
51	179.603
52	195.707
53	210.138
54	217.534
55	224.914
56	227.845
57	227.569
58	220.448
59	207.776
60	185.138
61	154.017
62	127.172
63	115.207
64	109.897
65	115.379
66	112.569
67	115.207
68	115.155
69	122.121
70	130.483
71	144.931
72	155.241
73	168.034
74	176.638
75	184.448
76	189.931
77	192.172
78	190.897
79	179.914
80	161.517
81	131.621
82	111.103
83	104.897
84	102.190
85	103.310
86	100.862
87	103.276
88	99.931
89	103.138
90	103.259
91	102.810
92	104.672
93	102.845
94	102.328
95	103.328
96	104.121
97	104.517
98	102.845
99	105.069
100	107.569
101	104.845
102	104.310
103	103.638
104	105.534
105	106.241
106	104.759
107	111.948
108	113.241
109	115.724
110	119.672
111	121.121
112	117.017
113	114.414
114	111.655
115	109.017
116	101.586
117	103.172
118	99.707
119	97.207
120	99.155
121	97.983
122	100.241
123	98.466
124	100.724
125	99.569
126	99.259
127	99.793
128	99.776
129	99.966
130	100.172
131	101.362
132	102.931
133	101.948
134	103.879
135	105.931
136	109.000
137	108.448
138	109.017
139	107.897
140	105.483
141	102.707
142	101.259
143	98.552
144	97.086
145	100.603
146	97.500
147	97.776
148	99.621
149	97.362
150	101.000
151	98.621
152	97.966
153	99.810
154	98.103
155	100.052
156	99.672
157	97.586
158	98.310
159	97.603
160	97.914
161	99.172
162	97.362
163	96.672
164	99.207
165	99.069
166	98.707
167	96.914
168	98.897
169	98.000
170	95.776
171	99.069
172	98.897
173	98.914
174	97.707
175	97.086
176	97.793
177	97.155
178	98.345
179	97.603
180	99.810
181	99.017
182	100.172
183	100.190
184	96.879
185	97.138
186	97.552
187	98.241
188	97.138
189	95.310
190	99.362
191	94.741
192	97.172
193	101.328
194	97.828
195	95.155
196	97.207
197	97.000
198	95.793
199	96.741
200	95.276
