X	Y
0	80.000
1	81.634
2	80.976
3	81.756
4	81.122
5	82.073
6	80.902
7	80.512
8	81.976
9	80.317
10	80.439
11	82.195
12	80.439
13	80.146
14	80.244
15	81.829
16	81.488
17	80.171
18	81.634
19	80.220
20	81.171
21	79.171
22	78.659
23	79.000
24	79.707
25	80.390
26	80.512
27	80.659
28	81.341
29	80.537
30	81.902
31	81.171
32	81.439
33	83.220
34	83.610
35	83.805
36	83.610
37	85.341
38	85.780
39	86.659
40	87.073
41	88.659
42	88.829
43	90.390
44	92.000
45	95.488
46	95.902
47	98.098
48	104.902
49	112.463
50	121.512
51	133.073
52	147.805
53	166.659
54	186.561
55	202.902
56	216.878
57	228.610
58	235.439
59	239.902
60	241.000
61	239.439
62	233.415
63	220.805
64	198.073
65	169.976
66	134.220
67	99.561
68	84.634
69	83.707
70	86.878
71	89.854
72	94.049
73	102.098
74	111.366
75	120.244
76	135.683
77	149.537
78	161.585
79	174.976
80	182.951
81	188.171
82	189.317
83	186.780
84	178.122
85	163.512
86	143.171
87	120.171
88	92.000
89	72.390
90	66.537
91	67.878
92	66.537
93	67.024
94	67.854
95	66.927
96	68.366
97	67.805
98	66.268
99	66.951
100	67.683
101	67.512
102	68.415
103	67.317
104	67.366
105	68.220
106	67.780
107	67.634
108	67.659
109	66.366
110	68.049
111	68.537
112	67.927
113	68.366
114	69.707
115	70.195
116	71.098
117	71.146
118	74.244
119	75.780
120	74.488
121	76.976
122	75.463
123	75.268
124	75.098
125	73.902
126	71.976
127	68.439
128	68.122
129	68.122
130	64.366
131	63.610
132	63.463
133	62.049
134	61.976
135	61.976
136	60.878
137	61.585
138	61.976
139	61.049
140	61.195
141	62.488
142	61.463
143	61.951
144	62.195
145	63.659
146	65.439
147	64.805
148	65.634
149	66.756
150	67.171
151	68.585
152	66.220
153	65.878
154	65.122
155	65.561
156	62.805
157	62.463
158	61.756
159	58.927
160	59.829
161	58.902
162	58.976
163	58.415
164	59.366
165	59.049
166	58.610
167	57.488
168	58.805
169	57.878
170	58.610
171	58.268
172	56.220
173	58.878
174	59.049
175	58.146
176	56.415
177	57.659
178	58.512
179	57.390
180	57.951
181	57.707
182	58.976
183	57.244
184	57.780
185	57.659
186	57.951
187	58.317
188	57.317
189	57.878
190	57.561
191	58.268
192	56.610
193	56.585
194	56.634
195	56.415
196	55.927
197	56.732
198	57.780
199	58.122
200	56.902
