X	Y
0	112.145
1	112.258
2	112.016
3	112.258
4	112.048
5	112.081
6	112.242
7	111.855
8	111.355
9	111.742
10	111.726
11	111.484
12	111.919
13	111.500
14	111.484
15	110.952
16	111.323
17	111.532
18	111.065
19	111.387
20	111.548
21	111.629
22	111.645
23	111.855
24	111.694
25	111.968
26	112.048
27	113.129
28	112.839
29	112.548
30	113.823
31	113.355
32	114.032
33	114.242
34	114.387
35	115.161
36	114.984
37	116.161
38	116.048
39	116.952
40	117.355
41	118.274
42	119.016
43	118.984
44	120.597
45	121.516
46	124.177
47	125.839
48	128.952
49	134.194
50	140.677
51	147.484
52	156.968
53	168.548
54	180.984
55	193.823
56	206.532
57	216.694
58	225.177
59	231.032
60	233.677
61	232.548
62	228.161
63	218.855
64	202.097
65	181.468
66	156.419
67	130.710
68	117.339
69	113.823
70	115.226
71	115.855
72	118.274
73	121.968
74	125.726
75	131.548
76	138.323
77	146.935
78	155.710
79	165.339
80	173.919
81	183.290
82	190.032
83	193.258
84	195.016
85	190.919
86	181.839
87	167.774
88	149.532
89	128.855
90	112.387
91	105.758
92	104.839
93	104.790
94	104.081
95	104.758
96	103.726
97	103.726
98	103.984
99	104.355
100	103.823
101	104.419
102	103.629
103	103.452
104	104.435
105	103.565
106	104.290
107	104.161
108	103.968
109	104.855
110	105.258
111	104.613
112	105.339
113	105.048
114	104.081
115	105.613
116	105.968
117	106.823
118	107.419
119	108.968
120	110.145
121	110.935
122	112.484
123	113.306
124	112.871
125	112.774
126	110.919
127	108.984
128	106.758
129	105.548
130	103.274
131	102.984
132	102.435
133	101.419
134	101.806
135	101.597
136	100.484
137	100.968
138	100.532
139	99.500
140	100.726
141	101.113
142	99.855
143	100.855
144	101.048
145	101.016
146	101.403
147	101.387
148	101.532
149	102.774
150	103.403
151	103.935
152	104.855
153	104.919
154	104.839
155	105.855
156	104.452
157	103.419
158	101.806
159	101.710
160	100.532
161	99.855
162	98.661
163	98.661
164	98.419
165	98.629
166	99.048
167	97.403
168	97.855
169	97.887
170	98.742
171	98.000
172	97.500
173	97.258
174	98.226
175	97.726
176	97.694
177	97.710
178	98.065
179	98.129
180	98.532
181	96.968
182	97.339
183	96.629
184	97.484
185	98.097
186	97.274
187	97.710
188	97.790
189	97.387
190	97.371
191	96.742
192	96.887
193	97.290
194	97.629
195	97.226
196	97.629
197	97.306
198	97.226
199	97.371
200	96.532
