X	Y
0	84.226
1	84.387
2	84.565
3	84.290
4	84.435
5	83.065
6	83.435
7	83.435
8	83.274
9	83.677
10	82.532
11	81.661
12	81.306
13	82.952
14	82.113
15	83.016
16	83.113
17	82.468
18	81.935
19	82.468
20	82.081
21	82.129
22	81.839
23	82.113
24	82.806
25	81.871
26	82.419
27	81.790
28	82.032
29	81.935
30	82.484
31	83.290
32	83.145
33	82.823
34	83.129
35	82.726
36	83.306
37	84.113
38	84.758
39	83.984
40	83.710
41	84.952
42	83.565
43	84.355
44	85.194
45	85.661
46	88.000
47	88.210
48	91.145
49	92.677
50	96.306
51	103.145
52	115.387
53	131.161
54	151.903
55	174.758
56	195.306
57	212.339
58	224.839
59	232.823
60	237.161
61	236.435
62	231.548
63	215.500
64	183.887
65	138.210
66	95.774
67	77.984
68	74.387
69	73.806
70	75.468
71	76.694
72	79.500
73	83.113
74	89.919
75	99.887
76	113.871
77	129.710
78	145.952
79	161.548
80	173.952
81	184.194
82	191.532
83	192.419
84	186.823
85	169.565
86	138.161
87	101.387
88	77.145
89	69.645
90	67.581
91	67.016
92	66.710
93	66.887
94	67.032
95	67.919
96	67.097
97	67.355
98	67.323
99	66.484
100	67.274
101	66.726
102	66.984
103	67.274
104	67.113
105	67.919
106	67.242
107	67.371
108	66.855
109	66.355
110	66.694
111	66.581
112	66.435
113	67.210
114	67.274
115	70.258
116	71.903
117	76.645
118	79.726
119	82.694
120	84.758
121	85.274
122	83.000
123	79.226
124	76.000
125	71.016
126	68.323
127	64.839
128	63.935
129	64.532
130	63.694
131	63.323
132	63.565
133	61.726
134	62.016
135	62.242
136	63.565
137	62.629
138	62.306
139	63.145
140	63.000
141	62.274
142	62.210
143	63.613
144	64.790
145	65.000
146	66.548
147	69.000
148	70.823
149	72.758
150	72.677
151	71.129
152	69.177
153	65.887
154	63.516
155	62.210
156	60.484
157	60.903
158	61.290
159	61.226
160	60.823
161	61.290
162	59.435
163	59.242
164	60.500
165	61.387
166	61.516
167	59.903
168	58.581
169	59.984
170	59.468
171	60.532
172	59.952
173	59.323
174	59.790
175	60.355
176	58.935
177	61.177
178	60.129
179	59.532
180	59.839
181	59.032
182	59.468
183	59.210
184	59.306
185	58.048
186	58.484
187	59.032
188	58.290
189	58.726
190	58.839
191	58.258
192	58.565
193	57.968
194	58.613
195	57.274
196	58.048
197	58.484
198	57.968
199	57.387
200	57.065
