X	Y
0	92.607
1	92.754
2	92.328
3	92.689
4	92.508
5	91.557
6	91.623
7	90.180
8	91.607
9	91.590
10	91.803
11	91.262
12	90.508
13	90.869
14	89.918
15	90.410
16	90.574
17	90.426
18	90.689
19	89.984
20	90.082
21	89.869
22	90.164
23	90.246
24	90.393
25	90.377
26	89.607
27	89.721
28	90.131
29	90.426
30	90.443
31	90.984
32	90.607
33	92.115
34	90.934
35	91.738
36	92.164
37	92.098
38	92.967
39	93.361
40	93.066
41	93.033
42	93.967
43	94.508
44	93.967
45	95.656
46	96.426
47	97.918
48	100.279
49	102.984
50	108.443
51	117.164
52	130.836
53	148.148
54	166.656
55	186.246
56	202.410
57	215.508
58	224.738
59	230.770
60	232.918
61	231.016
62	225.279
63	212.541
64	191.787
65	160.361
66	123.246
67	96.443
68	87.902
69	86.541
70	86.000
71	86.344
72	87.918
73	91.328
74	95.754
75	102.541
76	112.705
77	123.328
78	136.016
79	148.541
80	161.049
81	171.115
82	178.246
83	184.066
84	185.197
85	183.459
86	174.574
87	154.836
88	127.754
89	98.082
90	81.984
91	77.066
92	77.311
93	75.639
94	75.836
95	75.197
96	75.443
97	75.361
98	75.541
99	74.934
100	74.541
101	74.295
102	74.689
103	74.803
104	73.541
105	73.820
106	74.197
107	74.279
108	74.262
109	73.082
110	74.328
111	72.197
112	73.180
113	72.459
114	72.607
115	73.672
116	73.197
117	74.770
118	76.197
119	76.836
120	79.049
121	80.508
122	80.984
123	80.820
124	79.361
125	78.426
126	75.246
127	73.541
128	72.557
129	69.820
130	69.787
131	69.607
132	69.033
133	69.098
134	68.951
135	69.230
136	68.770
137	68.787
138	68.590
139	67.721
140	67.738
141	67.836
142	67.705
143	68.246
144	68.557
145	68.033
146	67.754
147	68.836
148	69.705
149	70.443
150	71.230
151	71.164
152	71.410
153	71.000
154	70.377
155	68.705
156	68.541
157	68.098
158	66.131
159	66.049
160	65.213
161	64.311
162	63.574
163	64.803
164	64.885
165	64.918
166	64.885
167	64.754
168	63.934
169	65.066
170	63.951
171	63.787
172	63.115
173	63.098
174	63.721
175	64.262
176	63.721
177	63.344
178	63.180
179	63.639
180	62.705
181	63.115
182	62.361
183	61.918
184	62.262
185	62.590
186	62.459
187	62.262
188	61.738
189	63.180
190	61.852
191	62.787
192	61.836
193	62.541
194	61.820
195	61.852
196	61.557
197	61.623
198	60.393
199	61.984
200	60.639
