X	Y
0	64.500
1	63.952
2	62.571
3	63.738
4	65.238
5	61.976
6	64.381
7	62.429
8	63.024
9	63.357
10	64.024
11	63.810
12	61.119
13	61.452
14	63.786
15	64.381
16	64.143
17	64.619
18	66.119
19	65.238
20	64.262
21	64.429
22	63.714
23	64.429
24	62.881
25	63.167
26	62.905
27	64.643
28	64.857
29	65.071
30	64.714
31	65.143
32	65.571
33	65.571
34	67.548
35	67.286
36	68.762
37	69.381
38	70.000
39	69.429
40	69.929
41	71.500
42	73.667
43	75.571
44	77.310
45	78.095
46	82.119
47	86.714
48	93.167
49	100.190
50	109.690
51	121.810
52	138.738
53	154.238
54	173.357
55	186.905
56	201.143
57	213.619
58	222.857
59	227.214
60	231.738
61	230.500
62	224.976
63	211.262
64	183.000
65	137.143
66	92.405
67	70.905
68	66.857
69	68.071
70	69.500
71	72.500
72	75.238
73	79.381
74	86.595
75	96.571
76	109.405
77	122.190
78	137.000
79	149.214
80	160.857
81	169.786
82	177.500
83	180.095
84	179.500
85	168.357
86	142.310
87	103.929
88	69.548
89	55.714
90	53.762
91	54.357
92	55.048
93	55.048
94	55.524
95	55.405
96	56.167
97	55.381
98	55.190
99	56.286
100	55.524
101	53.786
102	54.405
103	53.857
104	54.810
105	56.476
106	53.643
107	54.595
108	54.024
109	54.405
110	54.595
111	55.262
112	52.810
113	54.690
114	55.381
115	55.190
116	58.452
117	63.357
118	65.881
119	69.095
120	73.524
121	76.619
122	79.238
123	78.238
124	77.762
125	77.762
126	73.690
127	70.381
128	65.167
129	60.548
130	55.238
131	52.500
132	49.905
133	49.214
134	48.476
135	48.167
136	49.286
137	48.429
138	49.238
139	49.595
140	48.952
141	49.619
142	48.405
143	47.048
144	47.548
145	49.238
146	49.095
147	51.190
148	53.000
149	56.524
150	57.786
151	60.286
152	62.119
153	64.714
154	62.286
155	60.286
156	61.357
157	57.571
158	55.071
159	51.524
160	48.571
161	47.024
162	45.905
163	45.786
164	46.762
165	46.667
166	47.738
167	46.357
168	47.143
169	47.238
170	47.762
171	45.571
172	46.881
173	47.357
174	46.667
175	47.071
176	45.976
177	47.167
178	46.857
179	45.690
180	46.095
181	47.143
182	46.214
183	45.286
184	44.571
185	46.524
186	46.810
187	45.833
188	45.286
189	45.190
190	46.167
191	45.452
192	45.929
193	44.690
194	45.143
195	44.976
196	44.476
197	44.429
198	43.286
199	45.476
200	45.500
