X	Y
0	69.636
1	72.295
2	70.523
3	70.977
4	70.000
5	69.205
6	69.636
7	71.795
8	70.409
9	69.477
10	71.000
11	71.386
12	72.409
13	71.886
14	72.182
15	70.273
16	70.318
17	70.205
18	71.318
19	72.455
20	71.705
21	71.364
22	71.568
23	73.636
24	72.864
25	71.955
26	73.636
27	73.432
28	74.545
29	74.568
30	74.591
31	74.295
32	76.818
33	77.295
34	77.614
35	78.386
36	78.750
37	77.500
38	80.295
39	80.705
40	83.295
41	86.659
42	86.136
43	88.364
44	91.136
45	93.091
46	96.114
47	98.636
48	105.227
49	113.182
50	123.250
51	136.864
52	149.318
53	163.023
54	175.409
55	188.636
56	198.273
57	207.205
58	212.682
59	216.818
60	217.886
61	214.886
62	207.409
63	193.955
64	170.909
65	141.977
66	108.318
67	86.227
68	74.659
69	73.136
70	74.614
71	74.523
72	77.000
73	78.091
74	83.636
75	87.455
76	96.818
77	106.432
78	119.523
79	130.364
80	144.023
81	154.045
82	163.114
83	168.932
84	173.773
85	174.750
86	171.523
87	162.795
88	148.068
89	126.727
90	100.023
91	79.182
92	67.068
93	62.364
94	61.500
95	60.977
96	62.136
97	60.409
98	62.295
99	60.886
100	62.977
101	64.182
102	62.500
103	62.205
104	64.773
105	64.318
106	63.045
107	63.318
108	63.318
109	63.409
110	64.977
111	64.455
112	64.614
113	66.364
114	66.818
115	68.545
116	69.318
117	72.114
118	77.841
119	80.432
120	84.977
121	90.364
122	93.864
123	99.045
124	101.000
125	104.364
126	105.227
127	104.841
128	105.409
129	103.205
130	99.864
131	95.523
132	89.841
133	84.045
134	78.136
135	71.932
136	68.364
137	63.477
138	60.568
139	59.386
140	54.818
141	56.455
142	56.659
143	56.591
144	57.773
145	58.386
146	57.341
147	58.750
148	60.659
149	60.705
150	64.318
151	64.364
152	69.682
153	71.864
154	74.432
155	77.727
156	81.273
157	83.136
158	83.045
159	84.114
160	82.705
161	80.523
162	80.091
163	77.750
164	74.477
165	69.955
166	65.568
167	61.386
168	61.182
169	55.886
170	54.591
171	54.636
172	53.614
173	52.659
174	51.750
175	52.750
176	53.295
177	52.795
178	52.568
179	52.477
180	54.455
181	52.841
182	52.523
183	53.205
184	52.955
185	52.886
186	51.727
187	51.409
188	53.409
189	52.523
190	53.295
191	52.614
192	53.136
193	51.727
194	52.841
195	51.136
196	51.864
197	52.045
198	51.250
199	51.364
200	49.591
