X	Y
0	67.415
1	66.098
2	65.902
3	66.732
4	67.317
5	68.976
6	66.634
7	67.000
8	66.854
9	65.537
10	66.268
11	66.561
12	67.878
13	66.390
14	65.195
15	65.659
16	66.317
17	66.951
18	65.463
19	66.927
20	68.366
21	67.659
22	68.537
23	68.902
24	68.829
25	68.024
26	68.951
27	69.341
28	71.000
29	70.976
30	70.244
31	72.366
32	71.854
33	74.024
34	74.805
35	73.561
36	74.634
37	77.878
38	78.561
39	80.341
40	82.488
41	82.537
42	85.293
43	88.049
44	89.659
45	92.780
46	96.683
47	102.073
48	107.146
49	114.268
50	123.805
51	135.683
52	150.341
53	163.976
54	179.829
55	192.829
56	206.683
57	217.073
58	223.537
59	230.439
60	234.415
61	234.805
62	231.585
63	221.707
64	201.780
65	167.268
66	123.610
67	88.707
68	74.171
69	72.415
70	73.610
71	78.244
72	81.927
73	88.927
74	99.098
75	111.268
76	122.024
77	136.024
78	147.341
79	159.878
80	169.390
81	176.854
82	182.610
83	185.610
84	184.463
85	177.756
86	164.122
87	138.780
88	104.780
89	75.317
90	63.878
91	58.488
92	59.171
93	58.878
94	58.902
95	58.293
96	57.488
97	59.390
98	58.927
99	57.293
100	57.951
101	57.829
102	57.780
103	56.463
104	58.927
105	57.415
106	57.610
107	58.220
108	57.902
109	57.098
110	57.854
111	56.634
112	56.341
113	58.049
114	56.561
115	56.366
116	55.439
117	56.756
118	55.780
119	56.537
120	55.707
121	56.463
122	55.976
123	56.878
124	56.366
125	54.268
126	54.902
127	54.244
128	54.805
129	53.780
130	55.073
131	54.439
132	55.122
133	54.268
134	53.707
135	53.146
136	54.073
137	53.512
138	53.244
139	55.146
140	53.415
141	54.268
142	53.463
143	53.610
144	53.098
145	54.951
146	52.463
147	52.805
148	53.512
149	53.049
150	53.805
151	54.683
152	52.878
153	52.634
154	52.854
155	53.341
156	50.951
157	51.683
158	54.171
159	54.268
160	52.439
161	53.122
162	51.366
163	52.951
164	52.317
165	52.780
166	50.805
167	51.415
168	52.463
169	52.000
170	52.049
171	50.244
172	51.805
173	53.073
174	52.561
175	52.024
176	50.805
177	51.439
178	50.195
179	50.951
180	51.244
181	52.415
182	50.732
183	52.049
184	51.732
185	52.268
186	52.537
187	51.341
188	52.439
189	51.195
190	50.805
191	50.049
192	52.537
193	50.756
194	52.390
195	51.512
196	50.707
197	50.951
198	51.049
199	52.707
200	53.122
