X	Y
0	74.846
1	75.738
2	75.354
3	75.846
4	75.969
5	74.492
6	77.138
7	75.969
8	74.969
9	76.308
10	76.415
11	76.231
12	76.615
13	76.169
14	77.246
15	76.969
16	77.554
17	76.062
18	76.262
19	75.308
20	76.200
21	76.954
22	77.354
23	77.262
24	77.769
25	76.246
26	75.677
27	76.000
28	76.615
29	76.800
30	77.862
31	79.969
32	77.431
33	79.385
34	78.092
35	78.662
36	78.846
37	81.538
38	80.615
39	82.108
40	82.554
41	83.262
42	84.123
43	84.046
44	85.938
45	86.754
46	90.031
47	91.892
48	96.431
49	99.062
50	103.677
51	107.231
52	113.908
53	123.154
54	135.262
55	148.354
56	158.554
57	169.554
58	178.431
59	184.492
60	187.738
61	187.154
62	183.200
63	172.908
64	153.031
65	122.415
66	91.646
67	77.785
68	75.246
69	75.723
70	77.446
71	78.862
72	81.446
73	81.415
74	86.477
75	90.892
76	97.400
77	104.154
78	115.231
79	124.708
80	134.000
81	142.938
82	148.154
83	151.369
84	152.846
85	149.231
86	141.631
87	120.077
88	92.877
89	74.769
90	69.092
91	72.108
92	70.262
93	71.185
94	71.354
95	71.892
96	71.477
97	72.938
98	73.615
99	72.338
100	73.723
101	74.723
102	75.138
103	76.292
104	75.569
105	77.554
106	77.708
107	79.000
108	80.862
109	81.615
110	84.646
111	85.877
112	88.738
113	91.323
114	94.692
115	99.862
116	104.738
117	111.492
118	119.800
119	128.369
120	137.769
121	145.062
122	150.938
123	157.046
124	159.569
125	161.569
126	159.385
127	154.277
128	146.338
129	133.246
130	116.769
131	100.969
132	84.908
133	74.846
134	69.754
135	69.108
136	68.892
137	68.262
138	69.323
139	69.123
140	70.046
141	71.554
142	73.415
143	74.292
144	76.846
145	78.862
146	82.138
147	85.708
148	90.138
149	97.969
150	102.292
151	108.631
152	116.077
153	121.908
154	125.846
155	127.785
156	128.554
157	127.415
158	122.708
159	114.969
160	104.815
161	91.077
162	81.723
163	71.831
164	66.769
165	64.062
166	63.400
167	63.400
168	62.154
169	64.154
170	62.369
171	63.108
172	62.831
173	63.446
174	63.200
175	63.954
176	64.338
177	62.631
178	64.200
179	61.508
180	62.938
181	63.769
182	63.185
183	63.077
184	62.754
185	62.800
186	62.785
187	62.846
188	63.062
189	61.600
190	62.754
191	62.477
192	62.631
193	62.954
194	62.200
195	62.154
196	63.292
197	62.446
198	61.785
199	64.246
200	61.908
