X	Y
0	71.594
1	71.219
2	72.781
3	71.188
4	71.141
5	71.516
6	71.250
7	72.312
8	71.188
9	72.297
10	71.594
11	71.688
12	71.984
13	72.375
14	72.078
15	71.391
16	72.156
17	72.641
18	72.734
19	72.953
20	73.766
21	72.375
22	74.828
23	73.297
24	74.391
25	73.984
26	73.969
27	75.188
28	76.266
29	75.391
30	76.844
31	77.891
32	78.625
33	78.375
34	80.047
35	79.859
36	81.031
37	80.484
38	82.094
39	82.438
40	82.297
41	84.062
42	84.328
43	87.047
44	90.000
45	92.875
46	97.984
47	101.078
48	106.531
49	113.656
50	123.812
51	136.062
52	150.453
53	166.719
54	183.625
55	197.938
56	209.719
57	218.984
58	225.500
59	228.938
60	230.156
61	226.672
62	218.094
63	202.766
64	175.234
65	136.422
66	97.625
67	76.938
68	74.078
69	75.438
70	79.297
71	82.172
72	88.234
73	95.391
74	106.016
75	119.156
76	133.484
77	147.234
78	160.516
79	171.688
80	180.359
81	185.422
82	186.703
83	185.000
84	177.250
85	163.406
86	138.250
87	106.078
88	79.875
89	66.719
90	64.203
91	65.188
92	65.875
93	65.422
94	64.312
95	66.500
96	64.844
97	65.500
98	64.938
99	65.156
100	65.203
101	63.922
102	66.328
103	65.391
104	65.844
105	65.219
106	65.719
107	66.562
108	64.891
109	64.344
110	66.203
111	65.391
112	65.859
113	67.609
114	68.641
115	71.328
116	74.562
117	79.516
118	82.031
119	82.938
120	82.141
121	80.891
122	79.047
123	73.641
124	70.719
125	67.859
126	64.547
127	62.797
128	62.656
129	62.062
130	62.312
131	62.141
132	62.703
133	62.516
134	62.000
135	61.641
136	63.281
137	62.578
138	62.250
139	61.000
140	62.266
141	63.125
142	62.062
143	62.422
144	62.141
145	64.062
146	66.141
147	68.547
148	70.453
149	71.797
150	72.219
151	71.938
152	71.141
153	67.781
154	65.734
155	62.062
156	60.469
157	61.391
158	61.594
159	59.250
160	61.375
161	60.641
162	61.094
163	61.078
164	60.594
165	60.188
166	62.594
167	62.750
168	60.688
169	62.062
170	60.547
171	60.750
172	59.734
173	59.703
174	59.641
175	60.531
176	59.859
177	60.141
178	59.359
179	59.078
180	60.109
181	59.984
182	59.797
183	60.219
184	60.234
185	59.703
186	60.188
187	59.859
188	60.344
189	60.531
190	60.234
191	59.359
192	60.234
193	59.484
194	58.922
195	59.766
196	60.641
197	59.578
198	59.547
199	59.359
200	58.406
