X	Y
0	54.000
1	52.683
2	53.683
3	53.817
4	54.917
5	54.333
6	55.183
7	54.150
8	54.750
9	54.450
10	54.500
11	54.150
12	54.817
13	54.150
14	54.183
15	54.317
16	56.167
17	55.600
18	55.817
19	56.833
20	56.233
21	56.050
22	57.367
23	57.717
24	58.000
25	57.617
26	58.967
27	59.150
28	60.267
29	61.317
30	60.600
31	61.783
32	61.983
33	63.850
34	65.517
35	67.617
36	70.650
37	73.500
38	78.533
39	86.133
40	98.433
41	113.383
42	132.983
43	154.317
44	176.367
45	195.633
46	210.917
47	221.617
48	230.083
49	235.117
50	236.317
51	233.167
52	224.083
53	203.733
54	173.717
55	133.950
56	91.783
57	64.100
58	55.417
59	54.933
60	57.567
61	61.167
62	66.933
63	74.350
64	86.283
65	101.250
66	115.883
67	133.417
68	148.433
69	161.600
70	171.583
71	180.600
72	184.083
73	183.567
74	173.883
75	156.000
76	129.017
77	94.500
78	65.483
79	49.600
80	44.233
81	43.350
82	43.633
83	43.050
84	44.150
85	44.133
86	42.800
87	44.367
88	43.667
89	44.450
90	43.850
91	45.000
92	45.017
93	44.583
94	44.917
95	45.017
96	43.533
97	43.783
98	44.683
99	44.033
100	45.400
101	46.333
102	49.150
103	52.000
104	56.750
105	61.150
106	66.650
107	68.400
108	69.383
109	67.300
110	62.267
111	55.767
112	48.317
113	45.433
114	42.067
115	40.767
116	39.683
117	39.667
118	40.467
119	40.017
120	39.333
121	38.733
122	39.283
123	38.967
124	38.333
125	38.183
126	37.950
127	38.217
128	37.000
129	40.067
130	40.200
131	39.750
132	43.767
133	47.783
134	51.167
135	52.767
136	54.333
137	53.933
138	50.450
139	45.750
140	41.000
141	37.517
142	36.783
143	35.533
144	35.800
145	35.883
146	35.833
147	35.617
148	35.550
149	36.517
150	37.050
151	36.250
152	35.067
153	34.550
154	35.567
155	34.400
156	35.567
157	34.000
158	34.950
159	34.567
160	34.783
161	34.833
162	34.017
163	33.950
164	35.233
165	34.400
166	35.000
167	33.567
168	34.417
169	33.583
170	33.883
171	33.983
172	32.917
173	33.900
174	34.917
175	33.067
176	33.933
177	33.483
178	33.683
179	33.450
180	33.383
181	34.017
182	32.033
183	32.583
184	33.133
185	32.783
186	33.467
187	32.650
188	32.967
189	31.900
190	32.683
191	32.983
192	32.150
193	32.917
194	31.950
195	31.867
196	31.267
197	32.250
198	31.333
199	32.867
200	32.433
