X	Y
0	66.267
1	65.883
2	65.267
3	66.533
4	65.850
5	64.633
6	66.750
7	64.717
8	64.667
9	65.900
10	65.783
11	65.467
12	63.900
13	66.383
14	67.433
15	63.783
16	63.833
17	64.333
18	64.933
19	65.417
20	66.633
21	64.817
22	63.750
23	65.350
24	63.867
25	66.200
26	66.867
27	66.950
28	67.417
29	66.200
30	66.200
31	66.083
32	66.133
33	67.367
34	68.450
35	67.317
36	66.050
37	70.400
38	69.917
39	71.900
40	74.833
41	78.450
42	86.283
43	97.000
44	113.217
45	131.150
46	151.217
47	166.833
48	179.200
49	188.717
50	192.300
51	191.483
52	184.400
53	165.033
54	133.033
55	94.733
56	70.533
57	62.017
58	60.950
59	59.517
60	60.117
61	60.683
62	61.133
63	62.883
64	64.350
65	65.817
66	73.100
67	80.167
68	90.583
69	105.267
70	117.100
71	128.950
72	140.167
73	146.483
74	148.283
75	146.300
76	133.800
77	108.267
78	78.783
79	60.883
80	54.967
81	54.083
82	55.883
83	54.167
84	55.433
85	56.467
86	56.750
87	57.783
88	58.167
89	56.850
90	58.950
91	59.417
92	57.383
93	58.617
94	57.933
95	60.067
96	59.000
97	58.600
98	58.833
99	58.567
100	61.983
101	61.833
102	63.433
103	66.267
104	68.417
105	73.417
106	82.200
107	90.617
108	102.367
109	116.933
110	130.400
111	142.883
112	152.067
113	158.800
114	159.583
115	159.517
116	153.950
117	139.950
118	122.133
119	97.233
120	74.467
121	59.717
122	52.967
123	52.083
124	51.750
125	49.967
126	50.583
127	49.633
128	51.483
129	52.817
130	52.600
131	52.117
132	50.850
133	53.733
134	53.650
135	56.050
136	61.283
137	65.233
138	74.417
139	79.900
140	88.867
141	100.517
142	107.383
143	113.483
144	119.467
145	118.717
146	116.433
147	108.950
148	95.800
149	80.133
150	67.233
151	55.750
152	49.200
153	47.083
154	45.933
155	47.050
156	47.267
157	46.300
158	44.767
159	48.900
160	45.250
161	47.983
162	47.100
163	47.267
164	46.150
165	47.733
166	47.417
167	45.883
168	46.283
169	44.433
170	44.117
171	46.850
172	46.300
173	45.900
174	46.017
175	46.133
176	45.767
177	46.000
178	46.100
179	46.050
180	45.917
181	45.733
182	46.267
183	44.750
184	44.883
185	45.250
186	43.817
187	42.617
188	44.733
189	45.050
190	44.833
191	44.650
192	46.167
193	44.933
194	43.200
195	44.517
196	43.100
197	41.150
198	43.017
199	42.400
200	43.750
