X	Y
0	56.100
1	55.500
2	56.317
3	56.050
4	55.383
5	56.433
6	56.450
7	56.517
8	53.817
9	54.917
10	55.900
11	55.750
12	56.350
13	56.317
14	53.533
15	54.067
16	54.383
17	56.033
18	55.467
19	55.267
20	56.050
21	54.767
22	56.233
23	58.083
24	58.067
25	58.700
26	58.733
27	59.267
28	60.117
29	61.333
30	60.950
31	63.717
32	63.367
33	65.633
34	65.767
35	68.533
36	69.600
37	72.900
38	77.150
39	85.583
40	95.067
41	108.983
42	125.233
43	144.383
44	161.583
45	180.250
46	192.550
47	207.000
48	217.017
49	224.233
50	228.617
51	228.467
52	226.317
53	220.267
54	209.517
55	187.500
56	157.800
57	120.550
58	86.467
59	65.200
60	55.183
61	53.517
62	57.633
63	63.467
64	70.533
65	82.617
66	96.633
67	109.350
68	123.967
69	135.917
70	148.383
71	158.617
72	166.483
73	169.467
74	173.500
75	174.533
76	169.050
77	160.533
78	143.483
79	117.000
80	89.217
81	62.350
82	48.900
83	43.850
84	40.400
85	40.617
86	41.283
87	41.017
88	42.200
89	41.150
90	40.433
91	42.083
92	42.467
93	41.533
94	40.617
95	41.333
96	42.367
97	42.167
98	41.733
99	42.117
100	38.983
101	40.700
102	40.017
103	39.467
104	39.850
105	41.917
106	41.167
107	42.317
108	45.267
109	43.783
110	46.250
111	44.850
112	44.383
113	41.650
114	40.250
115	39.717
116	39.250
117	40.383
118	38.283
119	35.400
120	38.417
121	36.883
122	37.650
123	36.800
124	34.400
125	36.267
126	36.600
127	36.633
128	35.483
129	37.383
130	37.483
131	36.433
132	35.550
133	36.383
134	36.583
135	34.550
136	35.067
137	37.750
138	37.900
139	38.233
140	38.483
141	37.867
142	38.617
143	37.383
144	35.433
145	35.583
146	34.850
147	33.067
148	34.617
149	35.767
150	33.500
151	32.650
152	35.350
153	31.683
154	33.483
155	33.950
156	32.817
157	33.633
158	33.483
159	32.267
160	31.867
161	32.650
162	33.200
163	31.467
164	33.533
165	32.850
166	31.767
167	31.817
168	31.100
169	33.667
170	33.167
171	32.083
172	32.217
173	31.350
174	30.850
175	32.333
176	32.883
177	31.817
178	33.167
179	32.033
180	30.067
181	30.733
182	29.183
183	31.000
184	28.550
185	30.867
186	30.217
187	30.350
188	30.733
189	30.883
190	31.550
191	30.050
192	30.717
193	32.833
194	30.217
195	30.900
196	30.567
197	28.950
198	28.667
199	30.167
200	29.517
