X	Y
0	58.133
1	56.600
2	54.183
3	52.917
4	55.367
5	56.067
6	55.650
7	58.217
8	56.017
9	56.817
10	58.867
11	56.900
12	57.517
13	57.917
14	56.883
15	57.467
16	57.150
17	58.083
18	57.000
19	58.683
20	57.633
21	60.233
22	58.917
23	60.417
24	55.833
25	57.400
26	60.250
27	57.233
28	58.883
29	58.333
30	60.467
31	61.083
32	61.200
33	59.900
34	61.500
35	65.933
36	71.450
37	73.717
38	80.867
39	85.900
40	93.950
41	107.283
42	124.433
43	144.917
44	165.117
45	181.483
46	196.100
47	209.717
48	218.300
49	225.267
50	228.050
51	226.067
52	218.583
53	200.383
54	169.400
55	125.517
56	82.800
57	61.617
58	59.233
59	58.867
60	57.667
61	57.117
62	60.633
63	62.317
64	68.683
65	75.350
66	84.783
67	94.967
68	105.267
69	116.983
70	129.600
71	141.033
72	148.867
73	158.133
74	160.750
75	160.600
76	156.683
77	138.350
78	115.883
79	84.067
80	59.867
81	51.267
82	51.267
83	51.183
84	47.633
85	49.583
86	46.967
87	50.067
88	49.833
89	49.000
90	46.600
91	49.033
92	51.467
93	48.450
94	48.533
95	48.817
96	45.800
97	48.100
98	49.067
99	47.983
100	48.683
101	51.533
102	47.950
103	48.217
104	48.650
105	49.033
106	52.983
107	53.517
108	57.217
109	58.883
110	64.433
111	71.467
112	70.417
113	71.783
114	70.250
115	68.200
116	61.883
117	57.067
118	49.600
119	47.217
120	45.700
121	45.833
122	43.167
123	42.517
124	44.367
125	43.867
126	44.333
127	43.667
128	43.100
129	44.133
130	41.000
131	42.067
132	42.500
133	42.000
134	41.750
135	41.833
136	46.067
137	44.117
138	45.950
139	45.050
140	48.383
141	50.317
142	53.683
143	53.267
144	54.267
145	52.733
146	49.733
147	48.133
148	44.717
149	43.433
150	41.300
151	38.550
152	39.483
153	38.000
154	41.617
155	41.000
156	39.717
157	41.267
158	43.000
159	41.417
160	39.267
161	37.833
162	38.900
163	40.367
164	39.633
165	40.450
166	37.400
167	41.267
168	38.467
169	38.667
170	40.900
171	37.267
172	36.733
173	39.300
174	36.783
175	38.367
176	35.550
177	36.400
178	38.117
179	39.517
180	36.767
181	41.450
182	38.950
183	39.583
184	37.683
185	36.183
186	36.717
187	36.967
188	37.733
189	38.300
190	37.833
191	37.033
192	36.283
193	37.000
194	39.217
195	36.400
196	37.367
197	36.150
198	36.250
199	35.417
200	37.283
